time,temperature_2m_max,temperature_2m_min,precipitation_sum,city
2022-04-30,16.2,6.2,0.0,Paris
2022-05-01,16.2,5.2,0.0,Paris
2022-05-02,17.5,7.6,0.1,Paris
2022-05-03,18.9,8.8,0.0,Paris
2022-05-04,17.6,9.5,0.0,Paris
2022-05-05,18.5,8.9,0.4,Paris
2022-05-06,21.5,8.4,0.0,Paris
2022-05-07,19.9,10.0,1.0,Paris
2022-05-08,21.0,10.1,0.1,Paris
2022-05-09,24.5,8.8,0.0,Paris
2022-05-10,26.2,13.2,0.0,Paris
2022-05-11,25.1,10.4,0.0,Paris
2022-05-12,19.9,11.8,0.0,Paris
2022-05-13,20.3,8.5,0.0,Paris
2022-05-14,22.4,8.1,0.0,Paris
2022-05-15,28.6,12.7,0.2,Paris
2022-05-16,24.5,15.9,0.5,Paris
2022-05-17,28.5,16.0,4.9,Paris
2022-05-18,27.6,15.8,0.0,Paris
2022-05-19,24.0,17.8,0.4,Paris
2022-05-20,22.0,12.3,16.4,Paris
2022-05-21,23.0,11.1,0.0,Paris
2022-05-22,23.4,11.1,0.3,Paris
2022-05-23,19.0,13.7,7.0,Paris
2022-05-24,17.0,9.6,5.3,Paris
2022-05-25,19.4,8.8,0.1,Paris
2022-05-26,19.7,12.6,0.3,Paris
2022-05-27,20.2,11.2,0.7,Paris
2022-05-28,19.0,8.0,0.1,Paris
2022-05-29,14.9,6.8,0.0,Paris
2022-05-30,17.5,6.8,0.0,Paris
2022-05-31,20.0,9.9,0.1,Paris
2022-06-01,20.5,7.4,0.0,Paris
2022-06-02,23.4,9.1,0.0,Paris
2022-06-03,25.0,12.4,8.2,Paris
2022-06-04,26.5,14.7,1.1,Paris
2022-06-05,22.8,14.9,5.9,Paris
2022-06-06,20.1,12.0,0.3,Paris
2022-06-07,21.6,13.1,1.0,Paris
2022-06-08,20.6,14.0,17.0,Paris
2022-06-09,19.7,11.7,0.3,Paris
2022-06-10,22.0,12.8,0.0,Paris
2022-06-11,24.5,14.4,0.0,Paris
2022-06-12,22.3,13.2,0.0,Paris
2022-06-13,22.0,10.1,0.0,Paris
2022-06-14,24.8,10.9,0.0,Paris
2022-06-15,29.0,13.4,0.0,Paris
2022-06-16,28.8,14.7,0.0,Paris
2022-06-17,32.0,15.3,0.0,Paris
2022-06-18,36.0,18.5,0.0,Paris
2022-06-19,24.5,15.9,10.6,Paris
2022-06-20,20.9,14.4,9.9,Paris
2022-06-21,24.2,13.9,1.4,Paris
2022-06-22,22.9,15.2,0.5,Paris
2022-06-23,26.2,17.5,6.2,Paris
2022-06-24,23.0,16.9,7.5,Paris
2022-06-25,17.9,13.8,8.8,Paris
2022-06-26,21.0,12.3,0.4,Paris
2022-06-27,21.7,13.1,3.7,Paris
2022-06-28,24.8,11.3,0.0,Paris
2022-06-29,24.8,11.4,0.3,Paris
2022-06-30,18.1,12.1,10.3,Paris
2022-07-01,20.5,10.8,0.6,Paris
2022-07-02,24.8,9.9,0.0,Paris
2022-07-03,23.0,11.9,0.0,Paris
2022-07-04,24.6,10.8,0.0,Paris
2022-07-05,24.7,10.8,0.0,Paris
2022-07-06,26.0,11.4,0.0,Paris
2022-07-07,22.6,14.2,0.0,Paris
2022-07-08,25.8,10.6,0.0,Paris
2022-07-09,28.6,14.3,0.0,Paris
2022-07-10,26.5,13.6,0.0,Paris
2022-07-11,28.7,15.2,0.0,Paris
2022-07-12,31.3,16.1,0.0,Paris
2022-07-13,34.5,18.5,0.0,Paris
2022-07-14,30.4,18.5,0.0,Paris
2022-07-15,26.1,14.9,0.0,Paris
2022-07-16,28.1,14.1,0.0,Paris
2022-07-17,30.9,16.1,0.0,Paris
2022-07-18,36.7,16.6,0.0,Paris
2022-07-19,39.1,20.9,0.0,Paris
2022-07-20,26.0,17.4,15.1,Paris
2022-07-21,25.6,16.8,0.1,Paris
2022-07-22,24.1,16.8,6.9,Paris
2022-07-23,25.1,17.4,2.1,Paris
2022-07-24,30.5,16.1,0.0,Paris
2022-07-25,26.4,18.2,0.4,Paris
